02,09-12-202202:25:06,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUtemperature,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,09-12-202202:27:02,66.000,53.000,1980.000,9701.998,260.765,71.000,12.863,14739.000,79.400,17.106,52.100,0.200
80,09-12-202202:27:03,66.000,61.000,1980.000,9701.998,270.162,71.000,13.860,14733.000,74.200,20.103,52.100,0.200
80,09-12-202202:27:04,67.000,62.000,1980.000,9701.998,262.835,72.000,14.866,14751.000,73.900,19.561,52.100,0.200
80,09-12-202202:27:05,66.000,54.000,1980.000,9701.998,257.062,73.000,14.066,14746.000,75.900,16.029,52.100,0.200
80,09-12-202202:27:06,66.000,54.000,1980.000,9701.998,259.153,86.000,15.308,14743.000,76.500,16.551,52.100,0.200
80,09-12-202202:27:07,67.000,64.000,1980.000,9701.998,274.542,69.000,16.349,14776.000,73.100,21.602,52.100,0.200
80,09-12-202202:27:08,67.000,60.000,1980.000,9701.998,270.743,75.000,12.480,14770.000,78.400,15.128,52.100,0.200
80,09-12-202202:27:09,67.000,59.000,1980.000,9701.998,260.311,69.000,14.403,14769.000,75.700,15.273,52.100,0.200
80,09-12-202202:27:10,67.000,61.000,1980.000,9701.998,275.730,73.000,11.965,14758.000,78.000,18.050,52.100,0.200
80,09-12-202202:27:11,67.000,60.000,1980.000,9701.998,274.549,76.000,12.177,14751.000,78.900,15.901,52.100,0.200
80,09-12-202202:27:12,67.000,59.000,1980.000,9701.998,265.126,68.000,13.217,14771.000,79.200,18.256,52.100,0.200
80,09-12-202202:27:13,67.000,59.000,1980.000,9701.998,268.856,70.000,12.729,14771.000,78.800,17.255,52.200,0.200
80,09-12-202202:27:14,67.000,59.000,1980.000,9701.998,262.536,72.000,12.430,14766.000,78.300,16.176,52.200,0.200
80,09-12-202202:27:15,67.000,59.000,1980.000,9701.998,258.004,69.000,12.141,14769.000,78.400,15.394,52.200,0.200
80,09-12-202202:27:16,66.000,59.000,1980.000,9701.998,273.524,68.000,13.168,14765.000,79.100,13.678,52.200,0.200
80,09-12-202202:27:17,66.000,58.000,1980.000,9701.998,267.525,69.000,11.291,14769.000,78.700,15.840,52.200,0.200
80,09-12-202202:27:18,67.000,59.000,1980.000,9701.998,273.755,69.000,12.077,14768.000,79.400,14.586,52.200,0.200
80,09-12-202202:27:19,67.000,58.000,1980.000,9701.998,261.663,71.000,11.494,14767.000,78.700,15.755,52.200,0.200
80,09-12-202202:27:20,67.000,57.000,1980.000,9701.998,266.949,71.000,12.855,14764.000,78.200,15.062,52.200,0.200
80,09-12-202202:27:21,67.000,56.000,1980.000,9701.998,267.028,75.000,12.473,14760.000,77.200,15.819,52.200,0.200
80,09-12-202202:27:22,66.000,57.000,1980.000,9701.998,267.111,71.000,12.119,14762.000,78.800,14.031,52.200,0.200
80,09-12-202202:27:23,67.000,57.000,1980.000,9701.998,269.077,72.000,12.723,14761.000,78.200,15.623,52.200,0.200
80,09-12-202202:27:24,66.000,55.000,1980.000,9701.998,258.927,70.000,12.793,14766.000,72.700,16.749,52.200,0.200
80,09-12-202202:27:25,66.000,51.000,1980.000,9701.998,250.676,72.000,12.503,14767.000,71.200,18.858,52.200,0.200
80,09-12-202202:27:26,66.000,55.000,1980.000,9701.998,267.704,72.000,12.641,14764.000,73.800,16.810,52.300,0.200
80,09-12-202202:27:27,66.000,54.000,1980.000,9701.998,254.830,68.000,12.368,14765.000,75.200,17.139,52.300,0.200
80,09-12-202202:27:28,67.000,57.000,1980.000,9701.998,255.803,75.000,12.083,14762.000,76.400,14.698,52.300,0.200
80,09-12-202202:27:29,66.000,56.000,1980.000,9701.998,260.887,73.000,12.630,14764.000,75.900,15.757,52.300,0.200
80,09-12-202202:27:30,67.000,52.000,1980.000,9701.998,251.661,70.000,12.521,14766.000,74.100,16.557,52.300,0.200
80,09-12-202202:27:31,66.000,54.000,1980.000,9701.998,253.014,79.000,13.368,14771.000,71.600,17.557,52.300,0.200
80,09-12-202202:27:32,66.000,53.000,1980.000,9701.998,253.439,69.000,14.114,14758.000,71.000,17.643,52.300,0.200
80,09-12-202202:27:33,66.000,54.000,1980.000,9701.998,254.200,73.000,12.546,14762.000,72.700,18.543,52.300,0.200
80,09-12-202202:27:34,66.000,56.000,1980.000,9701.998,267.958,82.000,12.416,14756.000,73.700,15.557,52.300,0.200
80,09-12-202202:27:35,66.000,52.000,1980.000,9701.998,252.082,69.000,13.097,14761.000,73.200,17.654,52.300,0.200
80,09-12-202202:27:36,66.000,53.000,1980.000,9701.998,262.236,73.000,13.001,14755.000,72.900,16.668,52.300,0.200
80,09-12-202202:27:37,66.000,54.000,1980.000,9701.998,251.905,87.000,24.465,14791.000,70.100,20.953,52.300,0.200
80,09-12-202202:27:38,67.000,57.000,1980.000,9701.998,252.958,89.000,38.609,14780.000,71.800,17.944,52.300,0.200
80,09-12-202202:27:39,66.000,53.000,1980.000,9701.998,254.915,76.000,25.688,14768.000,73.100,15.613,52.300,0.200
80,09-12-202202:27:40,66.000,56.000,1980.000,9701.998,266.298,72.000,12.495,14765.000,72.100,16.714,52.300,0.200
80,09-12-202202:27:41,66.000,53.000,1980.000,9701.998,254.989,73.000,12.893,14763.000,73.200,16.606,52.300,0.200
80,09-12-202202:27:42,66.000,55.000,1980.000,9701.998,268.142,71.000,13.143,14778.000,72.400,16.356,52.300,0.200
80,09-12-202202:27:43,66.000,52.000,1980.000,9701.998,251.507,71.000,12.741,14781.000,71.900,16.790,52.300,0.200
80,09-12-202202:27:44,66.000,55.000,1980.000,9701.998,257.049,83.000,12.923,14775.000,73.600,16.883,52.300,0.200
80,09-12-202202:27:45,66.000,53.000,1980.000,9701.998,262.057,72.000,11.566,14772.000,72.200,17.143,52.300,0.200
80,09-12-202202:27:46,66.000,55.000,1980.000,9701.998,260.031,74.000,13.608,14720.000,73.300,17.385,52.300,0.200
80,09-12-202202:27:47,67.000,54.000,1980.000,9701.998,256.043,70.000,13.397,14715.000,73.700,16.695,52.300,0.200
80,09-12-202202:27:48,66.000,54.000,1980.000,9701.998,254.391,75.000,12.157,14712.000,73.500,17.235,52.300,0.200
80,09-12-202202:27:49,66.000,55.000,1980.000,9701.998,256.619,73.000,13.109,14713.000,74.200,15.367,52.400,0.200
80,09-12-202202:27:50,66.000,54.000,1980.000,9701.998,252.409,73.000,12.307,14712.000,73.800,17.484,52.400,0.200
80,09-12-202202:27:51,67.000,56.000,1980.000,9701.998,266.001,72.000,13.052,14709.000,75.000,14.575,52.400,0.200
80,09-12-202202:27:52,66.000,53.000,1980.000,9701.998,254.375,74.000,13.388,14709.000,72.100,16.358,52.400,0.200
80,09-12-202202:27:53,66.000,56.000,1980.000,9701.998,261.588,73.000,12.731,14704.000,73.100,17.724,52.400,0.200
80,09-12-202202:27:54,66.000,54.000,1980.000,9701.998,255.708,73.000,13.763,14703.000,72.300,17.095,52.400,0.200
80,09-12-202202:27:55,66.000,55.000,1980.000,9701.998,259.169,69.000,12.126,14709.000,76.400,15.379,52.400,0.200
80,09-12-202202:27:56,66.000,54.000,1980.000,9701.998,264.563,73.000,12.236,14702.000,76.400,15.185,52.400,0.200
80,09-12-202202:27:57,66.000,57.000,1980.000,9701.998,252.871,74.000,13.132,14705.000,75.700,15.509,52.400,0.200
80,09-12-202202:27:58,67.000,53.000,1980.000,9701.998,262.780,71.000,13.321,14738.000,71.300,22.370,52.400,0.200
80,09-12-202202:27:59,66.000,52.000,1980.000,9701.998,261.114,72.000,13.694,14729.000,73.200,17.346,52.400,0.200
80,09-12-202202:28:00,66.000,56.000,1980.000,9701.998,267.156,70.000,12.037,14729.000,74.600,14.795,52.400,0.200
80,09-12-202202:28:01,66.000,56.000,1980.000,9701.998,260.873,70.000,12.781,14733.000,74.900,17.017,52.400,0.200
80,09-12-202202:28:02,66.000,54.000,1980.000,9701.998,253.544,73.000,12.850,14730.000,74.100,14.853,52.400,0.200
80,09-12-202202:28:03,66.000,57.000,1980.000,9701.998,261.512,70.000,12.119,14734.000,72.800,17.523,52.400,0.200
80,09-12-202202:28:04,66.000,57.000,1980.000,9701.998,253.568,77.000,13.377,14742.000,74.000,16.297,52.400,0.200
80,09-12-202202:28:05,66.000,53.000,1980.000,9701.998,258.879,72.000,13.006,14736.000,73.900,16.857,52.400,0.200
