02,08-12-202212:33:05,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,08-12-202212:35:45,70.000,100.000,1950.000,9701.998,321.788,11.460,21030.000,102.100,10.765,84.200,0.600
80,08-12-202212:35:46,71.000,100.000,1950.000,9701.998,321.143,13.388,21030.000,102.200,11.208,84.200,0.600
80,08-12-202212:35:47,71.000,100.000,1950.000,9701.998,322.252,12.245,21030.000,102.600,10.665,84.200,0.600
80,08-12-202212:35:48,71.000,100.000,1950.000,9701.998,323.047,12.909,21030.000,103.400,10.625,84.200,0.600
80,08-12-202212:35:49,71.000,100.000,1950.000,9701.998,322.731,12.066,21030.000,102.900,10.703,84.200,0.600
80,08-12-202212:35:50,71.000,100.000,1950.000,9701.998,322.818,11.966,21017.000,102.300,10.637,84.200,0.600
80,08-12-202212:35:51,70.000,100.000,1950.000,9701.998,323.665,12.017,21018.000,102.500,10.913,84.200,0.600
80,08-12-202212:35:52,71.000,100.000,1950.000,9701.998,322.176,11.739,21019.000,102.200,10.929,84.200,0.600
80,08-12-202212:35:53,71.000,100.000,1950.000,9701.998,325.158,12.715,21019.000,103.100,10.666,84.200,0.600
80,08-12-202212:35:54,71.000,100.000,1935.000,9701.998,326.119,12.221,21011.000,103.200,10.889,84.200,0.600
80,08-12-202212:35:55,71.000,100.000,1935.000,9701.998,320.349,12.755,21005.000,102.400,10.715,84.200,0.600
80,08-12-202212:35:56,71.000,100.000,1935.000,9701.998,321.394,12.684,20992.000,102.800,10.850,84.200,0.600
80,08-12-202212:35:57,71.000,100.000,1950.000,9701.998,325.475,11.874,20978.000,103.800,10.734,84.200,0.600
80,08-12-202212:35:58,71.000,100.000,1935.000,9701.998,329.862,12.407,20969.000,103.400,10.909,84.200,0.600
80,08-12-202212:35:59,71.000,100.000,1950.000,9701.998,320.956,11.944,20961.000,103.300,10.510,84.200,0.600
80,08-12-202212:36:00,71.000,100.000,1935.000,9701.998,322.137,13.218,20951.000,103.600,10.786,84.200,0.600
80,08-12-202212:36:01,70.000,100.000,1920.000,9701.998,308.503,11.767,20957.000,103.600,10.726,84.200,0.600
80,08-12-202212:36:02,70.000,100.000,1935.000,9701.998,320.363,12.954,20955.000,102.800,11.239,84.200,0.600
80,08-12-202212:36:03,71.000,100.000,1950.000,9701.998,316.413,11.851,20957.000,101.600,11.567,84.200,0.600
80,08-12-202212:36:04,71.000,100.000,1935.000,9701.998,321.515,11.535,20957.000,102.800,11.020,84.200,0.600
80,08-12-202212:36:05,71.000,100.000,1935.000,9701.998,325.800,12.707,20958.000,103.100,11.069,84.200,0.600
80,08-12-202212:36:06,70.000,100.000,1935.000,9701.998,324.296,11.711,20956.000,103.400,11.135,84.300,0.600
80,08-12-202212:36:07,70.000,100.000,1935.000,9701.998,319.273,12.147,20959.000,103.200,10.591,84.300,0.600
80,08-12-202212:36:08,71.000,100.000,1950.000,9701.998,324.467,12.416,20946.000,100.600,12.107,84.300,0.600
80,08-12-202212:36:09,71.000,100.000,1950.000,9701.998,322.746,11.761,20946.000,100.800,11.108,84.300,0.600
